ID,SEXO,IDADE,INSTX,REGIAO,UF,REG,COND,PORTE,F01,F02_IDADE,F02_FAIXA,F02_FX,F03,ALFAB,INST,P1_1_1,P1_1_0,P1_1_4,P1_1_2,P1_2_1_1,P1_2_1_2,P1_2_2,P1_1_6,P1_1_5,P1_2_3,P1_2_4,P2_2_2_1,P2_2_2_2,P2_2_2_3,P1_1_7_1,P1_1_7_2,P1_1_7_3,P1_1_7_4,P1_1_7_5,P1_1_7_6,P1_1_7_7,P2_1_0,P2_1_1,P2_1_6,P2_1_4_1,P2_1_4_2,P2_1_4_3,P2_1_3,P2_1_2_1,P2_1_2_2,P2_1_2_3,P2_1_2_4,P2_1_2_5,P2_2_3_1,P2_2_3_2,P2_2_3_3,RAÇA,RELIGIAO,P2_1_9,INTERNET,INTERNET1_1,INTERNET1_2,INTERNET1_3,INTERNET1_4,INTERNET1_5,INTERNET1_6,INTERNET2_1,INTERNET2_2,P2_1_8_1,P2_1_8_2,P2_1_8_3,P2_1_8_4,P2_1_8_5,P2_1_8_6,P2_1_8_7,P2_1_8_8,C2,C3,C4,CLASSE,FATOR_POND
9224,2,6,1,3,26,3,2,6,2,60,6,6,ITAPECERICA DA SERRA - SP,1,7,4,6,1,3, ,1,1,5,6,2,10,3,2, ,1,2,2,2,3,2,2,1,1,4, , , ,1,4,4,3,4,3,3, , ,3,1,4,2, , , , , , , , ,1,2,2,2,1,2,2,2,1,1,2,6,"1,19770"
9241,1,6,1,3,26,3,3,5,1,65,6,6,PIRASSUNUNGA - SP,1,7,4,4,1,1,1, ,2,1,4,1,4,3,1,4,1,2,1,2,2,2,2,1,1,2,1,2,3,1,1,1,1,1,3,3,4,1,1,1,4,2, , , , , , , , ,1,2,2,2,2,2,2,2,1,1,2,5,"1,16032"
9326,2,3,4,2,2,2,3,4,2,32,3,3,VIÇOSA - AL,1,15,1,3,1,1,1, ,1,1,1,1,4,1,3,2,1,2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,2,3,3,1,2,3,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,4,5,"1,05177"
9451,1,5,4,3,8,3,3,5,1,46,5,5,ARACRUZ - ES,1,16,1,1,1,1,1, ,1,1,1,1,4,2,3,1,1,2,1,2,2,2,1,1,1,2,2,1,3,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,5,3,"0,92087"
9751,2,5,3,4,23,4,3,2,2,45,5,5,BOSSOROCA - RS,1,14,1,2,1,1,1, ,1,1,3,3,5,1,2,3,1,2,1,1,1,2,1,1,1,1, , , ,1,1,1,1,1,3,1,2,3,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,3,4,"1,22244"
9752,1,2,3,4,18,4,3,5,1,18,2,2,CASTRO - PR,1,14,2,3,1,1,1, ,1,1,2,3,2,1,4,2,1,2,1,2,2,1,1,2,1,2,3,1,6,1,1,1,1,1,3,1,4,2,3,1,5,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,5,1,"0,31555"
10106,2,4,3,3,26,3,2,7,2,42,4,4,SANTO ANDRÉ - SP,1,14,1,2,1,1,1, ,1,1,1,1,1,1,3,4,1,2,1,1,2,2,1,1,1,2,6,3,7,1,1,1,1,1,3,3,1,4,1,1,4,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,4,4,"1,18392"
10119,2,4,4,2,25,2,1,7,2,35,4,4,ARACAJU - SE,1,16,1,2,1,3, ,1,2,1,1,1,1,3,1,2,1,2,1,2,2,2,1,2,1,2,3,6,2,1,1,1,1,3,3,3,1,2,2,9,1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,3,3,"0,54158"
10159,1,4,3,3,8,3,3,4,1,41,4,4,OUTRA CIDADE E ESTADO (ESPECIFIQUE),1,14,1,1,1,1,1, ,1,1,1,1,1,1,3,2,1,2,1,2,2,2,1,1,1,2,6,3,7,3,3,1,1,1,3,3,1,2,2,2,3,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,5,3,"0,67153"
10381,2,6,4,4,18,4,3,4,2,71,6,6,MARIALVA - PR,1,16,1,2,1,1,1, ,1,1,1,1,6,2,1,3,1,2,2,2,1,1,1,1,1,2,3,7,2,1,1,1,1,1,3,2,3,1,2,1,5,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,5,3,"0,77384"
